 will to register next: {'params': {'mgs': 65.60985867834184, 'mrc': 0.09492681639733519, 'pd': 0.9408890131830124, 'pr': 0.13443894375952897}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 24.960228385169696, 'mrc': 0.04656479627618387, 'pd': 0.9762592181840779, 'pr': 0.1543819587198626}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 51.821582758508484, 'mrc': 0.024163739507695382, 'pd': 0.9110383946164191, 'pr': 0.05178493483250217}, 'target': 20.0}.
 will to register next: {'params': {'mgs': 18.395887929031627, 'mrc': 0.0871471677614466, 'pd': 0.9675240664943314, 'pr': 0.26359954359708787}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 73.57706229636277, 'mrc': 0.06987486266350208, 'pd': 0.9132280744422843, 'pr': 0.2891556882318062}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 0.6928738394732559, 'mrc': 0.007292098429058503, 'pd': 0.95223642171645, 'pr': 0.1180520360964077}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 68.07544984737001, 'mrc': 0.04642823151695683, 'pd': 0.9714480962592369, 'pr': 0.22882988937350723}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 0.6463438948437084, 'mrc': 0.023275874198987814, 'pd': 0.9682705039800247, 'pr': 0.10489619026818282}, 'target': 16.363636363636363}.
 will to register next: {'params': {'mgs': 62.71561638714282, 'mrc': 0.0897525481473461, 'pd': 0.9138666263542312, 'pr': 0.2250136119976131}, 'target': 34.54545454545455}.
 will to register next: {'params': {'mgs': 64.35927480106417, 'mrc': 0.0490977454274412, 'pd': 0.9353021547487049, 'pr': 0.1513509728707494}, 'target': 20.0}.
 will to register next: {'params': {'mgs': 64.40076699052547, 'mrc': 0.06557441805172795, 'pd': 0.9261779444766174, 'pr': 0.133590261168418}, 'target': 38.18181818181818}.
 will to register next: {'params': {'mgs': 64.31411995650498, 'mrc': 0.029900166239058723, 'pd': 0.9406057330881439, 'pr': 0.16513700389401031}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 50.92879284643203, 'mrc': 0.025398131029550453, 'pd': 0.9373415124326916, 'pr': 0.10633269292288856}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 30.753068281014365, 'mrc': 0.08931817447867879, 'pd': 0.9794187869945421, 'pr': 0.21358327070907623}, 'target': 32.72727272727273}.
 will to register next: {'params': {'mgs': 52.42698860443446, 'mrc': 0.03432384905460733, 'pd': 0.9129902466975014, 'pr': 0.14138967554855575}, 'target': 20.0}.
 will to register next: {'params': {'mgs': 30.39594429003607, 'mrc': 0.0217515006405693, 'pd': 0.9181264169498242, 'pr': 0.1804458962596467}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 30.89439173846607, 'mrc': 0.06036521536107146, 'pd': 0.9869252671506996, 'pr': 0.10757836431707805}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 4.150265563988604, 'mrc': 0.060627884296931736, 'pd': 0.9982652937554843, 'pr': 0.23532726694030615}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 70.30365642996449, 'mrc': 0.07569644376929485, 'pd': 0.9020263574802323, 'pr': 0.27152914766003344}, 'target': 10.909090909090908}.
 will to register next: {'params': {'mgs': 64.40138781757562, 'mrc': 0.09034640616926931, 'pd': 0.9965483095573053, 'pr': 0.05428873712840791}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 40.76030750716711, 'mrc': 0.07544371167147484, 'pd': 0.9561027021635639, 'pr': 0.07300243300537086}, 'target': 18.181818181818183}.
 will to register next: {'params': {'mgs': 21.644559214270576, 'mrc': 0.0866587428029783, 'pd': 0.9494541327824654, 'pr': 0.2061868299851824}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 64.31389894148386, 'mrc': 0.05506526224926437, 'pd': 0.955409897865009, 'pr': 0.1838483044436396}, 'target': 32.72727272727273}.
 will to register next: {'params': {'mgs': 18.599561368558383, 'mrc': 0.05550459902231336, 'pd': 0.959305435710252, 'pr': 0.17375634089367492}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 63.53234872201958, 'mrc': 0.08964200054667582, 'pd': 0.9709185997861658, 'pr': 0.12184324692442193}, 'target': 27.272727272727273}.
 will to register next: {'params': {'mgs': 64.33180481902727, 'mrc': 0.025188613504473958, 'pd': 0.9642504210888418, 'pr': 0.17915832182158625}, 'target': 23.636363636363637}.
 will to register next: {'params': {'mgs': 21.63385675620806, 'mrc': 0.09497081510695715, 'pd': 0.9825442675723922, 'pr': 0.21203926028578612}, 'target': 21.818181818181817}.
 will to register next: {'params': {'mgs': 64.38564596965742, 'mrc': 0.053155982191916244, 'pd': 0.9332556258405728, 'pr': 0.14581657039692986}, 'target': 30.90909090909091}.
 will to register next: {'params': {'mgs': 27.11647998335744, 'mrc': 0.05284881437846163, 'pd': 0.9821210482657966, 'pr': 0.21072977596819953}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 19.051894574312193, 'mrc': 0.008415732174435753, 'pd': 0.9572803887698688, 'pr': 0.2852129510878008}, 'target': 25.454545454545453}.
 will to register next: {'params': {'mgs': 64.3783829616261, 'mrc': 0.05106811130555355, 'pd': 0.9518297848183181, 'pr': 0.1299953290621882}, 'target': 40.0}.
