 will to register next: {'params': {'mgs': 46.371882184284914, 'mrc': 0.1434660809219227, 'pd': 0.6720278133397048, 'pr': 0.08486619173712233}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 54.85667421595154, 'mrc': 0.15868043505479867, 'pd': 0.5921884719248518, 'pr': 0.21696564390365936}, 'target': 10}.
 will to register next: {'params': {'mgs': 67.98553019723373, 'mrc': 0.14657668771429255, 'pd': 0.5154695441947202, 'pr': 0.2651297486755032}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 73.46937418958463, 'mrc': 0.07054351961354428, 'pd': 0.729475627698463, 'pr': 0.2400393521762484}, 'target': 1.8181818181818181}.
 will to register next: {'params': {'mgs': 65.61809745129382, 'mrc': 0.05192682287613224, 'pd': 0.7978867021794289, 'pr': 0.16999145975721652}, 'target': 3.6363636363636362}.
 will to register next: {'params': {'mgs': 66.38712364521747, 'mrc': 0.03591169071124591, 'pd': 0.7261920179829107, 'pr': 0.25175455873042685}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 46.87460645118209, 'mrc': 0.0010693083614399246, 'pd': 0.6167235186913116, 'pr': 0.2866485327062915}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 64.63867730454292, 'mrc': 0.06167241854736656, 'pd': 0.8670268288403717, 'pr': 0.16279525155837565}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 44.46422783640174, 'mrc': 0.06787273815727261, 'pd': 0.5201020541471468, 'pr': 0.2570871672659207}, 'target': 9.090909090909092}.
 will to register next: {'params': {'mgs': 32.86724034328706, 'mrc': 0.11386651937960549, 'pd': 0.5173115269651908, 'pr': 0.21119254524767395}, 'target': 7.2727272727272725}.
 will to register next: {'params': {'mgs': 73.91736334662156, 'mrc': 0.1293025112731991, 'pd': 0.9821395022673524, 'pr': 0.23174765881945414}, 'target': 5.454545454545454}.
 will to register next: {'params': {'mgs': 0.016751069840115207, 'mrc': 0.17024319271558858, 'pd': 0.9905423268119802, 'pr': 0.28201313698319463}, 'target': 7.2727272727272725}.
